name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width
LeoT,143.7225,17.0514, 0.42,  39, 14.85, 15
MESSIER033,23.4617,30.6603, 0.85,-182,  7.17,181
LeoA,149.86,30.7464, 0.81,  24, 12.76, 19
UGC01281,27.3846,32.5925, 4.94, 157, 13.75,123
KK230,211.7946,35.0603, 2.14,  63, 16.67, 17
NGC0404,17.3621,35.7175, 3.05, -50, 13.43, 79
KKH5,16.8854,51.4403, 4.27,  61, 16.80, 37
KKH6,23.715,52.0917, 3.73,  60, 17.11, 28
UGC04879,139.0092,52.84, 1.36, -25, 16.54, 14
UGC08508,202.685,54.91, 2.69,  56, 14.73, 46
Cepheus1,312.7904,56.89, 6.00,  33, 12.10, 90
KKR59,315.8508,57.2872, 5.89,  -3,, 63
KKH12,36.8625,57.4878, 3.00,  70, 15.13, 48
KKR56,312.1004,58.6183, 5.89, -43, 15.57, 10
MB3,43.9317,58.8617, 3.00,  59, 13.77, 15
Dw1,44.2338,58.9117, 2.80, 112, 11.72,187
Dw2,43.5354,59.0053, 3.00,  94, 13.20,100
Maffei2,40.4771,59.6031, 2.80, -15, 11.12,306
NGC6946,308.7129,60.1542, 5.89,  51,  9.99,169
KKR55,311.3367,60.4111, 5.89,  32, 15.60, 37
UGC11583,307.5638,60.4403, 5.89, 126, 14.00, 96
NGC4605,190.0012,61.6081, 5.47, 151, 13.44,132
UGCA105,78.5629,62.5808, 3.15, 113, 11.87,121
UGCA092,68.0012,63.6139, 3.01, -95, 12.79, 56
NGC1569,67.7046,64.8481, 3.06, -86, 12.59,101
NGC2403,114.2142,65.5994, 3.18, 125, 10.19,240
UGC07242,183.5308,66.0922, 5.42,  66, 15.29, 66
DDO053,128.5271,66.1792, 3.56,  19, 14.55, 30
CamB,73.2788,67.0992, 3.34,  78, 15.74, 21
DDO165,196.6117,67.7042, 4.57,  31, 14.04, 46
NGC2976,146.815,67.9136, 3.56,   6, 13.52, 91
IC0342,56.7037,68.0958, 3.28,  29,  8.01,181
IC2574,157.0933,68.4161, 4.02,  43, 11.21,107
HIJASSJ1021+6842,155.2508,68.7, 3.70,  46, 14.90, 50
NGC3077,150.8375,68.7339, 3.82,  19, 11.76, 70
BK3N,148.4521,68.9692, 4.02, -40, 15.70, 15
Cas1,31.5329,69.01, 3.30,  35, 13.15, 50
HolmIX,149.385,69.0431, 3.61,  50, 12.63, 50
MESSIER081,148.8896,69.0667, 3.63, -38, 10.03,423
NGC2366,112.2275,69.2053, 3.19,  96, 11.83, 99
A0952+69,149.3708,69.2722, 3.87,  99, 16.26, 48
NGC4236,184.1804,69.4656, 4.45,  -3, 11.19,154
MESSIER082,148.9746,69.6825, 3.53, 183, 11.19,147
NGC6503,267.365,70.1447, 5.27,  51, 12.67,196
HS117,155.355,71.1161, 3.96, -37, 21.30, 13
NGC1560,68.2079,71.8811, 3.45, -36, 10.94,119
CamA,66.315,72.8058, 3.93, -54, 13.25, 38
UGC06456,172.0025,78.9914, 4.35, -94, 14.60, 37
