name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width,flux [Jy km/s BA^-1],uncert
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,349.13579796587146,3.994427263838732,
VCC0381,184.9754,6.6658, 4.71, 480, 16.34, 23,0.9055434701083032,1.1663635592103827,
KK49,85.4229,6.6817, 5.15, 455, 15.06, 55,18.194010167172852,1.5866395475789974,
AGC191803,147.0246,7.1292,14.9, 535, 16.78, 55,6.766607004869728,2.9960814788435552,
A0554+07,89.4029,7.4919, 5.50, 428, 16.28, 50,1.8763457655241462,1.5867957329063809,
AGC174585,114.0429,9.9864, 6.10, 356, 18.05, 21,12.275635179484357,1.3100453141524282,
UGC05456,151.8321,10.3622, 5.60, 527, 15.30, 62,22.522159495162988,2.2157522897647643,
UGC03755,108.4658,10.5219, 7.41, 311, 14.56, 34,22.608415200183554,1.2346491206267083,
GR8,194.6683,14.2175, 2.13, 217, 15.24, 26,16.632042295459147,1.1970057142559838,
LSBCD634-03,137.2229,14.5819, 9.55, 335, 18.99, 47,5.566702437367417,1.1678323997372357,
Pegasus,352.1421,14.7467, 0.76,-184, 13.90, 23,41.559633535474035,1.1105484127214176,
UGC02905,59.2525,16.5244, 5.83, 292, 15.76, 41,9.143082671656568,1.9797212361037582,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,24.927593762509154,2.580688421615877,
UGC02684,50.0988,17.295, 6.49, 350, 15.10, 79,23.82958083918016,1.8235883135023172,
LeoP,155.4379,18.0881, 2.00, 262, 17.70, 16,1.1158670425142672,0.8931576244800098,
DDO187,213.9854,23.0553, 2.20, 160, 14.89, 31,18.38359421158381,0.9329538239285828,
AGC238890,203.1262,25.1236, 6.80, 360, 18.54, 20,-4.835412085830663,1.366434936523817,
NGC1156,44.9267,25.2375, 7.80, 373, 13.23, 68,107.841863125284,2.038715551804111,
DDO154,193.5217,27.1486, 4.04, 374, 13.16, 80,179.21197286764541,3.794525003826196,
AGC122226,41.6621,27.7264, 8.56, 472, 16.62, 29,3.9888001785016147,1.3550009286476559,
AGC182595,132.8004,27.88, 6.10, 398, 18.10, 20,1.7354673472075695,1.3072801265254783,
AGC731457,157.9825,28.0258, 9.20, 454, 17.92, 36,19.58517817228169,1.9695982741008078,
DDO068,149.1904,28.825, 9.80, 503, 13.97, 74,53.993261808736705,1.8183610801856906,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,63.14148991747222,1.4467882702097836,
NGC0784,30.32,28.8436, 4.97, 193, 13.16, 88,133.10530594222982,2.3483799873817044,
KK127,183.3446,29.9217,17.3, 131, 16.18, 64,6.439739423985289,3.0994500419456354,
LVJ1000+3032,150.1521,30.5361, 7.10, 501, 19.26, 20,-1.7098051033818962,0.9782176978834087,
KK78,147.5817,31.4567, 7.10, 539, 16.70, 20,14.005790776554903,1.2060982212666027,
UGC05209,146.2675,32.2383, 6.56, 535, 17.05, 32,10.082222776269171,1.2211376019218523,
NGC4395,186.4575,33.5461, 4.61, 313, 11.53, 98,596.161044495173,4.354342071650258,
KK69,133.2113,33.7978, 7.70, 462, 16.50, 13,22.63136965805831,1.3017776241278185,
Halogas,36.8333,33.9583, 9.30, 528, 17.87, 28,155.2436595172636,4.388632538279541,
UGC08833,208.7029,35.8375, 3.08, 221, 15.77, 28,11.49137833056837,1.0311531728021763,
NGC4163,183.0371,36.1694, 2.94, 162, 15.28, 32,19.27372855507183,1.1800194454069717,
DDO147,191.7492,36.4764, 5.40, 331, 14.55, 30,28.829085992280547,1.5437157206373422,
DDO127,187.1188,37.2333, 6.89, 275, 15.03, 54,41.348619367312494,1.7609198783887339,
IC4182,196.4554,37.6058, 4.70, 321, 13.30, 35,115.57455400845835,2.187101147077562,
NGC4244,184.3746,37.8075, 4.49, 247, 11.02,170,699.0976458416268,6.158109183413086,
DDO183,207.7129,38.0211, 3.22, 188, 15.10, 29,12.569949582859744,1.1665700240644254,
IC3687,190.5629,38.5019, 4.57, 350, 14.38, 36,40.86884015755101,2.334098964688825,
Arp211,189.3388,38.7453, 6.61, 458, 16.54, 27,0.08894728946818897,1.1116566615241472,
DDO046,115.3575,40.1125, 6.85, 364, 14.46, 74,47.6902159596507,2.7463198060508778,
UGC00064,1.9333,40.8756, 9.60, 305, 14.30, 60,36.98237749321999,1.8768863752948228,
NGC4736,192.7229,41.1194, 4.66, 308, 13.36,207,126.5513190044925,2.161105173588836,
DDO052,127.1188,41.8567,10.28, 396, 15.09, 83,22.856681714988692,2.38522776939171,
KK151,187.5992,42.9014, 6.56, 436, 16.66, 34,7.554777767251863,1.8734051586972487,
KK160,190.9892,43.6614, 4.31, 293, 17.52, 22,7.4954287542220515,1.7873663481998634,
NGC2337,107.5567,44.4569, 7.87, 433, 13.80,147,76.94524228448174,2.2141777935146125,
NGC3741,174.0267,45.2853, 3.03, 229, 13.55, 83,122.34319722821503,3.1909751515050737,
DDO168,198.6192,45.9194, 4.33, 191, 13.14, 59,135.60118794904466,2.34891768787881,
CVnHI,185.1808,46.2092, 6.50, 420, 18.80, 20,10.208302939793336,1.3570054775376128,
DDO167,198.345,46.3197, 4.19, 150, 15.96, 19,-14.242232929380002,4.660339702265572,
NGC4144,182.4971,46.4572, 7.24, 265, 13.24,153,117.7486161894217,2.566035242194819,
UGC08215,197.015,46.8281, 4.55, 224, 15.94, 25,11.079460315305013,1.1055123303325467,
BTS157,192.8054,47.0708, 8.83, 572, 18.15, 18,3.0386631767556547,1.3042798206296276,
DDO169,198.8779,47.4964, 4.41, 262, 14.68, 48,34.79472760483112,1.8844667961884827,
UGC03501,99.66,49.2583,15.5, 451, 16.00, 60,9.08816847330308,1.3482554443578323,
KKH40,116.735,51.2961, 6.98, 445, 16.36, 27,9.171911009276133,0.9913560349199276,
UGC07950,191.735,51.6131, 8.90, 508, 15.46, 57,19.230922572379992,3.775684203189552,
UGC07298,184.1192,52.2272, 4.21, 174, 15.76, 21,27.57602922647114,1.1648043767919651,
MCG+09-20-131,183.9446,52.3875, 4.59, 159, 15.72, 27,22.960209730135215,1.5127970696172786,
DDO194,218.8525,57.2567, 8.02, 218, 15.08, 86,10.855177723994656,2.720192583828406,
UGC05497,153.2017,64.1075, 3.70, 150, 18.63, 16,5.964174312832023,1.106949829181464,
KDG063,151.2804,66.555, 3.50,-129, 16.27, 19,46.74470286189276,8.75984820433747,
[CKT2009]d0958+66,149.7021,66.8497, 4.04,  90, 19.07, 22,-3.971943178515046,1.3412810893270217,
UGC09992,235.4492,67.2542, 7.30, 423, 15.10, 49,24.41732017910077,1.5524458996874213,
HolmI,145.1346,71.1864, 3.84, 139, 13.72, 29,66.55100724464508,1.8139434826400342,
LeoIV,173.2375,-0.5333, 0.16, 132, 19.88,,25.460107957415957,4.86299609638735,
LVJ1205+2813,181.3925,28.2322, 6.74, 534,,,3.0543556827839495,2.9947917382071787,
IC779,184.9112,29.8833,16.67, 213,,,40.45682411127281,11.76905415269711,
NGC4150,182.64,30.4017,13.74, 226,,,66.88364143498652,6.820172411048683,
LVJ1052+3628,163.0229,36.4767, 9.20, 476,,,141.18683992976275,3.5945136408337577,
LVJ1052+3639,163.17,36.665, 9.20, 511,,,147.96526500155835,2.8648469765828866,
LVJ1342+4840,205.5838,48.6825, 7.44, 438,,,13.961931691998364,2.9317305549200756,
LVJ1000+5022,150.1062,50.3792, 7.97, 538,,,10.184487357447644,4.767604205205166,
UGCA086,59.9562,67.1253, 2.96,  72,,,788.1417207441029,4.979123080978939,
UGC11411,287.1762,70.2839, 4.73,  69,,,8.577603571301541,2.7638702040564853,
DDO082,157.6458,70.6194, 4.00,  56, 18.70,,5.4040934027685905,2.1428220468147914,
