name,Flux [Jy km/s BA^-1],+/-,low vel [km/s],high vel [km/s],hanning level
LeoT,14.24698471470026,0.2522786458333333,20.0,60.0,0
MESSIER033,16967.020423500217,1.8310546874999998,-350.0,-60.0,0
LeoA,161.6470917592359,0.4801432291666666,0.0,75.0,0
UGC01281,53.262772536855316,1.7333984374999998,25.0,300.0,0
KK230,15.341232546781749,0.6591796874999999,20.0,125.0,0
NGC0404,84.59564795645846,0.8544921874999999,-200.0,-65.0,0
KKH5,18.634968329834575,0.47200520833333326,25.0,100.0,0
UGC08508,27.2562655342187,0.5533854166666666,12.0,100.0,0
Cepheus1,186.3003995698615,0.7568359374999999,30.0,150.0,0
KKH12,21.87667820236042,0.5940755208333333,30.0,125.0,0
Dw2,35.163887366884914,1.1067708333333333,25.0,200.0,0
NGC6946,986.3829113060336,1.2044270833333333,10.0,200.0,0
KKR55,42.286513218813255,0.34993489583333326,15.0,70.0,0
NGC4605,82.77315278976168,1.5787760416666665,50.0,300.0,0
UGCA105,388.64628546995885,1.1067708333333333,25.0,200.0,0
UGCA092,157.54580825663686,0.5045572916666666,-160.0,-80.0,0
NGC1569,64.52449056482597,0.7242838541666665,-200.0,-85.0,0
NGC2403,2523.5836197851963,1.765950520833333,20.0,300.0,0
UGC07242,27.57429506898829,0.8544921874999999,15.0,150.0,0
DDO053,37.60111570255823,0.5696614583333333,10.0,100.0,0
CamB,9.720062885793977,0.5940755208333333,30.0,125.0,0
DDO165,75.61723388975369,0.9114583333333333,-20.0,125.0,0
NGC2976,26.713544506914186,0.36621093749999994,12.0,70.0,0
IC0342,4792.138831203104,0.8870442708333333,20.0,160.0,0
IC2574,665.351093492967,1.1393229166666665,20.0,200.0,0
HIJASSJ1021+6842,44.65675613873799,0.6673177083333333,15.0,120.0,0
NGC3077,358.00227012718165,0.5371093749999999,15.0,100.0,0
Cas1,84.96577380241305,0.6673177083333333,15.0,120.0,0
NGC2366,472.4521918270765,1.1067708333333333,25.0,200.0,0
NGC4236,604.7373830045505,1.1393229166666665,-30.0,150.0,0
NGC6503,144.1628898539845,1.0742187499999998,30.0,200.0,0
UGC06456,18.595058719782262,0.43945312499999994,-150.0,-80.0,0
UGC08245,9.8759806457083,0.9521484374999999,-200.0,-50.0,0
KKH37,53.9649374768096,0.2522786458333333,10.0,50.0,0
