name,rv,+/-,w50,+/-
NGC4244,255.16752129,5.15285987649,190.65581543,2.57642993824
HIZSS003,304.119690116,20.6114395061,72.140038271,10.305719753
KK49,-,-,-,-
AGC174585,-,-,-,-
UGC05456,541.151244435,20.611439506,30.917159259,10.305719753
GR8,206.215352463,20.611439506,41.2228790119,10.305719753
Pegasus,-206.013437657,41.222879012,103.05719753,20.611439506
UGC02905,268.049670981,41.222879012,61.8343185179,20.611439506
UGC02716,-,-,-,-
KDG215,391.718308017,41.222879012,61.834318518,20.611439506
DDO187,167.568903389,10.305719753,25.7642993825,5.15285987649
NGC1156,378.836158326,10.305719753,87.5986179005,5.15285987649
IC3308,-,-,-,-
DDO154,402.02402777,10.305719753,113.362917283,5.15285987649
AGC731457,453.552626535,20.611439506,103.05719753,10.305719753
NGC0784,203.638922525,5.15285987649,103.05719753,2.57642993824
UGC05209,-,-,-,-
NGC4395,324.087022138,2.57642993824,112.074702314,1.28821496912
Halogas,-,-,-,-
UGC07605,319.578269746,41.222879012,41.222879012,20.611439506
NGC4163,195.90963271,41.222879012,41.222879012,20.611439506
DDO127,268.049670981,20.611439506,103.05719753,10.305719753
DDO183,219.097502154,10.305719753,66.9871783944,5.15285987652
DDO099,242.285371598,10.305719753,61.834318518,5.15285987649
DDO043,-,-,-,-
UGC00064,-,-,-,-
DDO217,469.011206164,20.6114395059,30.917159259,10.3057197529
NGC4736,311.848979931,5.15285987662,190.65581543,2.57642993831
DDO052,-,-,-,-
KK151,-,-,-,-
DDO129,546.304104312,10.305719753,51.528598765,5.15285987652
NGC4449,207.503567432,2.57642993818,157.162226233,1.28821496909
NGC2337,-,-,-,-
NGC3741,252.591091351,10.3057197529,61.8343185179,5.15285987645
DDO168,202.99481504,2.57642993831,65.6989634253,1.28821496916
CVnHI,-,-,-,-
NGC4144,291.237540425,10.305719753,159.738656171,5.15285987652
UGC08215,-,-,-,-
LVJ0737+4724,438.094046905,10.305719753,30.9171592589,5.15285987649
UGC02773,231.979651845,20.611439506,51.528598765,10.305719753
KKH40,-,-,-,-
UGC07298,190.756772833,10.305719753,30.917159259,5.15285987649
HolmIV,154.686753698,10.305719753,82.445758024,5.15285987652
DDO194,206.215352463,10.305719753,123.668637036,5.15285987652
UGC05497,-,-,-,-
KDG063,-119.703034726,2.57642993824,25.7642993825,1.28821496912
UGC09992,414.906177461,5.15285987649,20.611439506,2.57642993824
UGC04483,170.145333327,10.305719753,30.917159259,5.15285987649
LeoIV,116.040304624,2.57642993818,23.1878694442,1.28821496909
IC779,-,-,-,-
LVJ1052+3628,-,-,-,-
LVJ1052+3639,529.557309713,5.15285987655,64.4107484562,2.57642993828
LVJ1342+4840,-,-,-,-
UGC06757,107.666907325,2.57642993818,9.01750478382,1.28821496909
UGCA086,-,-,-,-
IC1613,-237.5747044,2.57642993824,21.8996544751,1.28821496912
Orion,371.106868511,10.3057197529,113.362917283,5.15285987645
SexB,296.390400302,2.57642993824,38.6464490737,1.28821496912
VCC0381,461.281916349,10.3057197531,25.7642993825,5.15285987655
A0554+07,-,-,-,-
HIPASSJ0630+08,365.954008634,20.611439506,30.917159259,10.305719753
UGC03755,-,-,-,-
UGC04115,335.036849375,20.6114395061,30.917159259,10.305719753
LVJ1952+1428,268.049670981,20.611439506,41.222879012,10.305719753
UGC02684,-,-,-,-
LeoP,-,-,-,-
IC3840,-,-,-,-
LGS3,-329.682074693,20.611439506,20.611439506,10.305719753
UGC08638,247.438231475,20.611439506,41.222879012,10.305719753
IC3341,-,-,-,-
KK144,-,-,-,-
DDO068,487.046215732,10.305719753,118.515777159,5.15285987652
UGC07131,-,-,-,-
DDO133,335.036849375,10.305719753,51.528598765,5.15285987649
UGCA292,301.543260178,10.305719753,25.7642993825,5.15285987652
UGC05186,-,-,-,-
UGC03476,448.399766658,10.305719753,72.140038271,5.15285987649
UGC05427,-,-,-,-
KK78,-,-,-,-
KKH18,221.673932092,10.305719753,51.5285987649,5.15285987652
UGC08833,242.285371598,5.15285987655,30.917159259,2.57642993828
DDO147,337.613279314,5.15285987649,30.917159259,2.57642993824
DDO126,224.250362031,10.305719753,56.6814586414,5.15285987649
IC4182,333.104526922,2.57642993824,32.2053742282,1.28821496912
KKH98,-,-,-,-
UGC03600,404.600457708,10.305719753,15.4585796295,5.15285987652
AndIV,221.673932092,10.305719753,30.917159259,5.15285987649
DDO181,206.859459947,2.57642993824,50.2403837958,1.28821496912
UGC12588,422.635467276,20.611439506,82.445758024,10.305719753
KK149,403.312242739,5.15285987649,23.1878694443,2.57642993824
UGC00288,203.638922525,5.15285987642,36.0700191355,2.57642993821
DDO125,201.062492586,5.15285987655,25.7642993824,2.57642993828
KK160,-,-,-,-
NGC5023,414.906177461,5.15285987649,154.585796295,2.57642993824
MAPS1249+44,-,-,-,-
DDO190,175.298193204,20.6114395059,20.611439506,10.3057197529
NGC4460,510.234085176,20.611439506,30.917159259,10.305719753
UGC03817,438.094046905,10.305719753,41.222879012,5.15285987649
DDO120,469.011206164,10.3057197531,20.611439506,5.15285987655
DDO167,167.568903389,10.305719753,15.4585796295,5.15285987649
KKH38,-,-,-,-
UGC07639,365.954008634,10.305719753,10.305719753,5.15285987649
NGC5229,345.342569128,5.15285987649,159.738656171,2.57642993824
UGCA281,265.473241043,10.305719753,36.0700191355,5.15285987649
UGC06541,268.049670981,10.305719753,20.611439506,5.15285987649
UGC03501,469.011206164,20.611439506,154.585796295,10.305719753
UGC07267,-,-,-,-
NGC5238,283.50825061,20.611439506,51.5285987649,10.305719753
NGC4068,213.944642278,5.15285987655,36.0700191355,2.57642993828
NGC5474,287.372895518,2.57642993824,41.2228790119,1.28821496912
KDG192,438.094046905,10.305719753,72.1400382709,5.15285987652
NGC3738,216.521072216,41.222879012,82.445758024,20.611439506
NGC5585,307.984335024,5.15285987655,126.245066974,2.57642993828
NGC5204,213.944642278,5.15285987649,113.362917283,2.57642993824
IC0010,-339.343686961,2.57642993824,57.9696736106,1.28821496912
MB1,195.90963271,20.611439506,20.611439506,10.305719753
KK251,-,-,-,-
DDO087,-,-,-,-
KDG235,448.399766658,10.305719753,20.611439506,5.15285987649
HolmII,160.483721059,2.57642993824,55.3932436724,1.28821496912
KDG052,103.158154933,10.305719753,30.917159259,5.15285987649
HolmI,146.957463883,5.15285987649,20.611439506,2.57642993824
UGC05086,-,-,-,-
NGC4627,-,-,-,-
CGCG262-028,-,-,-,-
UGC11411,103.158154933,10.3057197531,30.917159259,5.15285987655
MCG +09-20-131,175.298193204,10.305719753,20.611439506,5.15285987649
UGC12894,329.883989499,10.305719753,30.917159259,5.15285987649
DDO046,360.801148758,41.222879012,41.2228790119,20.611439506
