name,rv,+/-,w50,+/-
NGC4244,190.65581543,255.16752129,2.57642993824,5.15285987649
HIZSS003,72.140038271,304.119690116,10.305719753,20.6114395061
KK49,-,-,-,-
AGC174585,-,-,-,-
UGC05456,15.4585796295,528.269094744,5.15285987652,10.305719753
GR8,-,-,-,-
Pegasus,103.05719753,-206.013437657,20.611439506,41.222879012
UGC02905,61.8343185179,268.049670981,20.611439506,41.222879012
UGC02716,-,-,-,-
KDG215,61.834318518,391.718308017,20.611439506,41.222879012
DDO187,-,-,-,-
NGC1156,87.5986179005,378.836158326,5.15285987649,10.305719753
IC3308,-,-,-,-
DDO154,113.362917283,402.02402777,5.15285987649,10.305719753
AGC731457,103.05719753,453.552626535,10.305719753,20.611439506
NGC0784,103.05719753,206.215352463,20.611439506,41.222879012
UGC05209,-,-,-,-
NGC4395,113.362917283,324.731129622,2.57642993824,5.15285987649
Halogas,-,-,-,-
UGC07605,-,-,-,-
NGC4163,-,-,-,-
DDO127,-,-,-,-
DDO183,-,-,-,-
DDO099,61.834318518,242.285371598,5.15285987649,10.305719753
DDO043,-,-,-,-
UGC00064,-,-,-,-
DDO217,30.917159259,469.011206164,10.3057197529,20.6114395059
NGC4736,-,-,-,-
DDO052,-,-,-,-
KK151,-,-,-,-
DDO129,-,-,-,-
NGC4449,157.162226233,207.503567432,1.28821496909,2.57642993818
NGC2337,-,-,-,-
NGC3741,61.8343185179,252.591091351,5.15285987645,10.3057197529
DDO168,92.751477777,221.673932092,5.15285987649,10.305719753
CVnHI,-,-,-,-
NGC4144,159.738656171,291.237540425,5.15285987652,10.305719753
UGC08215,-,-,-,-
LVJ0737+4724,-,-,-,-
UGC02773,51.528598765,231.979651845,10.305719753,20.611439506
KKH40,-,-,-,-
UGC07298,-,-,-,-
HolmIV,-,-,-,-
DDO194,-,-,-,-
UGC05497,-,-,-,-
KDG063,25.7642993825,-119.703034726,1.28821496912,2.57642993824
UGC09992,20.611439506,414.906177461,2.57642993824,5.15285987649
UGC04483,-,-,-,-
LeoIV,23.1878694442,116.040304624,1.28821496909,2.57642993818
IC779,-,-,-,-
LVJ1052+3628,-,-,-,-
LVJ1052+3639,64.4107484562,529.557309713,2.57642993828,5.15285987655
LVJ1342+4840,-,-,-,-
UGC06757,-,-,-,-
UGCA086,-,-,-,-
IC1613,21.8996544751,-237.5747044,1.28821496912,2.57642993824
Orion,113.362917283,371.106868511,5.15285987645,10.3057197529
SexB,38.6464490737,296.390400302,1.28821496912,2.57642993824
VCC0381,25.7642993825,461.281916349,5.15285987655,10.3057197531
A0554+07,-,-,-,-
HIPASSJ0630+08,82.4457580239,391.718308017,10.305719753,20.611439506
UGC03755,-,-,-,-
UGC04115,30.917159259,335.036849375,10.305719753,20.6114395061
LVJ1952+1428,46.3757388885,270.626100919,5.15285987652,10.305719753
UGC02684,-,-,-,-
LeoP,-,-,-,-
IC3840,-,-,-,-
LGS3,-,-,-,-
UGC08638,41.222879012,247.438231475,10.305719753,20.611439506
IC3341,-,-,-,-
KK144,-,-,-,-
DDO068,-,-,-,-
UGC07131,-,-,-,-
DDO133,56.6814586415,301.543260178,5.15285987649,10.305719753
UGCA292,25.7642993825,301.543260178,5.15285987652,10.305719753
UGC05186,-,-,-,-
UGC03476,72.140038271,448.399766658,5.15285987649,10.305719753
UGC05427,-,-,-,-
KK78,-,-,-,-
KKH18,51.5285987649,221.673932092,5.15285987652,10.305719753
UGC08833,30.917159259,242.285371598,2.57642993828,5.15285987655
DDO147,30.917159259,337.613279314,2.57642993824,5.15285987649
DDO126,51.5285987649,221.673932092,2.57642993824,5.15285987649
IC4182,32.2053742282,333.104526922,1.28821496912,2.57642993824
KKH98,-,-,-,-
UGC03600,15.4585796295,404.600457708,5.15285987652,10.305719753
AndIV,30.917159259,221.673932092,5.15285987649,10.305719753
DDO181,20.611439506,211.368212339,2.57642993824,5.15285987649
UGC12588,51.5285987649,463.858346288,5.15285987649,10.305719753
KK149,23.1878694443,403.312242739,2.57642993824,5.15285987649
UGC00288,36.0700191355,203.638922525,2.57642993821,5.15285987642
DDO125,131.397926851,220.385717123,2.57642993824,5.15285987649
KK160,-,-,-,-
