name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width
KKH86,208.64,4.2431, 2.59, 287, 18.12, 14
AGC174605,117.5904,7.7944, 6.00, 351, 17.84, 24
UGC07636,187.5042,7.9294, 5.20, 469, 18.98, 25
UGC07596,187.1413,8.6397, 4.60, 565, 18.49, 27
LSBCD634-03,137.2229,14.5819, 9.55, 335, 18.99, 47
VCC0841,186.4458,14.9519, 7.90, 499, 17.79, 39
AGC748778,1.6433,15.5108, 5.40, 258, 18.21, 16
KK65,115.63,16.5611, 8.02, 281, 16.09, 33
DDO047,115.4792,16.8006, 8.05, 270, 13.33, 55
LVJ0913+1937,138.4125,19.6189, 4.43, 445, 17.90, 25
KDG056,142.5538,19.9917, 8.90, 561, 17.64, 25
LSBCD564-08,135.725,20.0753, 8.67, 483, 16.72, 49
LSBCD565-06,139.8725,21.6033, 9.08, 498, 18.77, 14
AGC191803,147.0246,7.1292,14.9, 535, 16.78, 55
AGC198508,140.7375,24.9467,10.4, 519, 18.48, 29
AGC238890,203.1262,25.1236, 6.80, 360, 18.54, 20
AGC198507,138.8575,25.4194,21.7, 502, 17.82, 37
AGC229053,184.5646,25.5683,17.9, 425, 17.68, 40
LVJ0300+2546,45.1638,25.7822, 7.80, 308, 19.80, 19
AGC749241,190.0071,26.3219, 9.20, 451, 17.70, 18
KK13,25.57,26.3678, 7.20, 357, 17.12, 31
KK15,26.6733,26.8014, 7.20, 366, 17.50, 22
AGC749236,186.4267,26.81,19.5, 273, 16.53, 53
AGC731448,155.9375,27.1108,13.5, 540, 17.47, 39
KK14,26.1779,27.2878, 7.20, 420, 16.22, 28
AGC112521,25.2829,27.3239, 6.52, 274, 17.88, 26
AGC182595,132.8004,27.88, 6.10, 398, 18.10, 20
KK16,28.8358,27.9542, 5.47, 207, 17.42, 24
KK127,183.3446,29.9217,17.3, 131, 16.18, 64
LVJ1000+3032,150.1521,30.5361, 7.10, 501, 19.26, 20
d0226+3325,36.72,33.4269, 9.30, 520, 15.67, 40
MAPS1236+33,189.2058,33.6133,11.7, 526, 17.49, 30
LVJ0926+3343,141.5392,33.7178,19.7, 540, 16.39, 47
KK69,133.2113,33.7978, 7.70, 462, 16.50, 13
NGC4214,183.9121,36.3275, 2.94, 291, 11.98, 61
LVJ0954+3620,148.7108,36.3339,15.4, 503, 18.78, 35
NGC4190,183.4358,36.6333, 2.82, 235, 14.42, 49
IC3687,190.5629,38.5019, 4.57, 350, 14.38, 36
BTS146,190.0087,38.0006, 8.50, 446, 18.05, 27
Arp211,189.3388,38.7453, 6.61, 458, 16.54, 27,
LVJ1243+4127,190.9821,41.4569, 6.09, 402, 17.20, 16
NGC0205,10.0938,41.6864, 0.82,-221, 16.41, 42
MAPS1231+42,187.7875,42.0942, 5.80, 563, 19.10, 16
