name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width,flux [Jy km/s BA^-1],uncert
HIZSS003,105.1221,-4.2083, 1.67, 298, 13.83, 70,57.817235753107376,0.18396247648856304,
KK49,85.4229,6.6817, 5.15, 455, 15.06, 55,18.313760148589164,0.11877050390076842,
AGC174585,114.0429,9.9864, 6.10, 356, 18.05, 21,16.3967820265473,0.14693579170953602,
UGC05456,151.8321,10.3622, 5.60, 527, 15.30, 62,22.51988919153949,0.11904898143170403,
GR8,194.6683,14.2175, 2.13, 217, 15.24, 26,17.438293824132,0.14805831216357626,
Pegasus,352.1421,14.7467, 0.76,-184, 13.90, 23,40.82627580600826,0.11904898143170402,
UGC02905,59.2525,16.5244, 5.83, 292, 15.76, 41,7.704572202633132,0.18450169350186574,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC02716,51.03,17.7542, 6.40, 381, 15.67, 44,2.995869719017821,0.18432212976735227,
KDG215,193.9187,19.2092, 5.50, 419, 15.79, 25,11.092072626041878,0.11904898143170402,
DDO187,213.9854,23.0553, 2.20, 160, 14.89, 31,18.752613486675756,0.11904898143170402,
NGC1156,44.9267,25.2375, 7.80, 373, 13.23, 68,109.06772045468001,0.11904898143170402,
IC3308,186.3246,26.7147,12.8, 316, 14.94,125,27.673082246566143,0.14805831216357626,
DDO154,193.5217,27.1486, 4.04, 374, 13.16, 80,178.43513198879918,0.11877050390076842,
AGC731457,157.9825,28.0258, 9.20, 454, 17.92, 36,27.452700036572452,0.18450169350186574,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
NGC0784,30.32,28.8436, 4.97, 193, 13.16, 88,131.56630192413027,0.14693579170953602,
UGC05209,146.2675,32.2383, 6.56, 535, 17.05, 32,10.083105372225656,0.11904898143170405,
NGC4395,186.4575,33.5461, 4.61, 313, 11.53, 98,598.8319374994081,0.18432212976735227,
Halogas,36.8333,33.9583, 9.30, 528, 17.87, 28,171.77842079468425,0.14805831216357626,
UGC07605,187.1625,35.7181, 4.43, 310, 15.77, 26,3.2632346217801533,0.14805831216357623,
NGC4163,183.0371,36.1694, 2.94, 162, 15.28, 32,14.734838300553664,0.14693579170953602,
DDO127,187.1188,37.2333, 6.89, 275, 15.03, 54,44.98386977036354,0.11877050390076842,
NGC4244,184.3746,37.8075, 4.49, 247, 11.02,170,697.4330862712129,0.1187705039007684,
DDO183,207.7129,38.0211, 3.22, 188, 15.10, 29,16.37437642735314,0.11904898143170402,
DDO099,177.7208,38.8806, 2.64, 251, 13.58, 34,78.81481061313258,0.14805831216357626,
DDO043,112.0717,40.7703, 5.73, 353, 14.99, 36,32.70154364235986,0.18432212976735227,
UGC00064,1.9333,40.8756, 9.60, 305, 14.30, 60,38.75117125013538,0.1187705039007684,
DDO217,352.4946,40.9903, 9.70, 424, 13.23,117,118.85078397392215,0.14805831216357626,
NGC4736,192.7229,41.1194, 4.66, 308, 13.36,207,125.90071373754373,0.1187705039007684,
DDO052,127.1188,41.8567,10.28, 396, 15.09, 83,23.19748191176377,0.18450169350186574,
KK151,187.5992,42.9014, 6.56, 436, 16.66, 34,9.3288320864568,0.14805831216357626,
DDO129,187.1842,43.2242, 8.90, 538, 14.11, 43,45.05291440802355,0.11904898143170402,
NGC4449,187.0467,44.0944, 4.21, 201, 12.35, 98,1178.6707920232825,0.1843221297673523,
NGC2337,107.5567,44.4569, 7.87, 433, 13.80,147,77.80380953188285,0.1187705039007684,
NGC3741,174.0267,45.2853, 3.03, 229, 13.55, 83,122.63518606735211,0.146935791709536,
DDO168,198.6192,45.9194, 4.33, 191, 13.14, 59,137.18581189011786,0.1187705039007684,
CVnHI,185.1808,46.2092, 6.50, 420, 18.80, 20,12.255759312403798,0.11904898143170402,
NGC4144,182.4971,46.4572, 7.24, 265, 13.24,153,118.82160899444781,0.18450169350186574,
UGC08215,197.015,46.8281, 4.55, 224, 15.94, 25,11.263404653826159,0.11904898143170402,
LVJ0737+4724,114.3688,47.4092,15.7, 404, 17.40, 39,4.982356065496811,0.14805831216357626,
UGC02773,53.0296,47.7936, 5.40, 216, 13.93, 81,55.61567013559603,0.18450169350186577,
KKH40,116.735,51.2961, 6.98, 445, 16.36, 27,10.283952742531715,0.1187705039007684,
UGC07298,184.1192,52.2272, 4.21, 174, 15.76, 21,27.90768793589795,0.11904898143170402,
MCG+09-20-131,183.9446,52.3875, 4.59, 159, 15.72, 27,20.721589459147708,0.11904898143170405,
HolmIV,208.6879,53.9047, 7.21, 140, 14.24, 78,34.313029466055426,0.1187705039007684,
DDO194,218.8525,57.2567, 8.02, 218, 15.08, 86,11.455901803769406,0.11904898143170403,
UGC05497,153.2017,64.1075, 3.70, 150, 18.63, 16,6.251293397882179,0.11877050390076839,
KDG063,151.2804,66.555, 3.50,-129, 16.27, 19,46.26670989811738,0.14805831216357626,
UGC09992,235.4492,67.2542, 7.30, 423, 15.10, 49,23.80920882817267,0.11904898143170403,
UGC04483,129.2625,69.7753, 3.21, 156, 14.57, 33,5.977579316383554,0.18432212976735227,
LeoIV,173.2375,-0.5333, 0.16, 132, 19.88,,25.460107957415957,0.11932680907076154,
IC779,184.9112,29.8833,16.67, 213,,,40.45682411127281,0.11877050390076843,
LVJ1052+3628,163.0229,36.4767, 9.20, 476,,,141.18683992976275,0.18450169350186577,
LVJ1052+3639,163.17,36.665, 9.20, 511,,,147.96526500155835,0.11904898143170403,
LVJ1342+4840,205.5838,48.6825, 7.44, 438,,,13.961931691998364,0.14805831216357626,
UGC06757,176.7463,61.335, 2.73,  82,,,6.908495858706323,0.119048981431704,
UGCA086,59.9562,67.1253, 2.96,  72,,,788.1417207441029,0.18450169350186577,
