name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width
Hercules,247.7583,12.7917, 0.15,  45, 19.88,
BootesII,209.5,12.8333, 0.04,-117, 19.88,
Segue2,34.8167,20.1753, 0.03, -39,,
PegdSph,357.9433,24.5861, 0.82,-345, 19.85,
AndXXII,21.9167,28.0903, 0.79,-127,,
AndXIV,12.8958,29.6969, 0.73,-481, 16.34,
AndXVI,14.8742,32.3767, 0.52,-385, 16.34,
Bol520,12.6767,32.9164, 0.63,-312,,
AndXIII,12.9625,33.0044, 0.84,-195, 16.33,
AndII,19.1242,33.4192, 0.65,-194, 16.31,
CVnI,202.0146,33.5558, 0.22,  31, 16.34,
AndXI,11.5833,33.8014, 0.73,-419, 16.33,
CVnII,194.2917,34.3208, 0.16,-129, 16.60,
AndXII,11.8625,34.3747, 0.83,-556, 16.33,
AndXIX,4.8838,35.0436, 0.93,-111,,
AndXX,1.8779,35.1322, 0.80,-456,,
AndIII,8.8908,36.4978, 0.75,-346, 16.33,
AndI,11.4167,38.0372, 0.73,-376, 16.32,
AndXV,18.5779,38.1175, 0.76,-323, 16.32,
AndXXIII,22.3408,38.7189, 0.73,-243,,
MESSIER032,10.6754,40.8664, 0.49,-202, 14.27,
AndXXI,358.6988,42.4708, 0.86,-361,,
AndIX,13.22,43.2, 0.79,-216, 16.32,
AndXVII,9.2792,44.3222, 0.74,-251, 16.34,
AndX,16.6404,44.8044, 0.63,-164, 16.34,
AndXVIII,0.5604,45.0889, 1.36,-332,,
AndXXVII,9.3629,45.3869, 0.83,-535,,
AndXXIV,19.625,46.3661, 0.60,-128,,
AndXXV,7.5371,46.8519, 0.81,-108,,
AndV,17.5712,47.6281, 0.81,-403, 16.34,
AndXXVI,5.94,47.9161, 0.76,-261,,
NGC0147,8.2983,48.5078, 0.76,-193, 20.87,
AndXXX,9.1454,49.6467, 0.68,-141,,
CasdSph,351.6325,50.6756, 0.79,-307, 16.34,
Willman1,162.3375,51.05, 0.04, -12, 16.33,
UMaI,158.72,51.92, 0.10, -55, 16.33,
KKR25,243.4483,54.3711, 1.86, -79, 19.90,
KKR60,316.4708,57.2053, 5.90, -14,,
Draco,260.0058,57.9094, 0.08,-296, 19.88,
UMaII,132.875,63.13, 0.03,-116, 16.33,
NGC6789,289.1742,63.9728, 3.63,-140, 17.40,
UMin,227.2971,67.2144, 0.06,-255, 13.41,
F8D1,146.2083,67.4756, 3.77,-125, 18.20,
KDG064,151.7579,67.8275, 3.70, -15,,
KK35,56.3025,67.8639, 3.16, -66,,
IKN,152.0246,68.3992, 3.75,-140, 18.20,
[CKT2009]d0959+68,149.8879,68.6569, 3.60,-186,,
ClumpIII,150.1683,68.6603, 3.60,-121,,
GARLAND,150.925,68.6933, 3.82,  43, 14.88,
ClumpI,149.3383,68.7153, 3.60,-165,,
UGC08245,197.1425,78.9369, 1.99, -58,,
KKH37,101.9408,80.1239, 3.39,  11, 16.74,
