name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width
UGC03303,81.2479,4.505, 7.14, 519, 13.81,158
KKH46,137.1525,5.2922, 5.60, 598, 16.36, 25
CGCG035-007,143.6871,6.4256,13, 552, 15.98, 89
UGC05288,147.8217,7.8272, 6.85, 557, 14.30, 93
IC0559,146.1829,9.6153, 9.40, 541, 15.69, 67
UGC08061,194.1808,11.9311, 6.49, 563, 16.58, 56
IC2684,169.2542,13.0997,10.3, 588, 18.00, 25
DDO088,161.8429,14.0703, 7.73, 573, 15.59, 43
UGC01056,22.1967,16.6881, 7.30, 595, 16.05, 42
NGC2903,143.04,21.5006, 8.87, 556, 11.96,366
NGC4826,194.1842,21.6847, 4.37, 409, 13.38,302
NGC2903-HI-1,142.6662,21.7236, 8.90, 582, 19.53, 24
UGC7321,184.3917,22.5403,17.2, 403, 13.68,219
UGC05672,157.0871,22.5714,11.4, 531, 15.33, 82
DDO097,177.2383,23.8378,13.74, 522, 15.46, 86
NGC3344,160.8758,24.9236, 6.85, 588, 12.18,157
NGC4080,181.2158,26.9925,15, 565, 16.11,147
NGC0672,26.9717,27.4336, 7.20, 429, 12.05,205
NGC3274,158.0712,27.6686, 7.98, 541, 13.45,160
NGC0855,33.5154,27.8772, 9.73, 591, 14.64, 94
UGC07990,192.6133,28.3528,20.4, 512, 16.38, 87
IC3247,185.8083,28.8939,24.4, 569, 16.47,157
KISSB023,145.0529,29.5914,19.8, 544, 16.62, 77
IC2992,181.3162,30.8556,12.7, 599, 17.03, 46
DDO064,147.5933,31.4875, 7.11, 521, 14.50, 84
KDG082,178.9142,31.5194,16.6, 590, 16.73,100
DDO083,159.1804,31.5467,10.9, 582, 14.63,106
NGC4631,190.5333,32.5414, 7.38, 583, 10.86,183
FGC1497,191.7525,32.6514,23.4, 519, 17.02, 91
UGC04787,136.8954,33.2767,20.3, 553, 15.29,130
NGC2683,133.1704,33.4172, 7.73, 411, 12.93,428
NGC0925,36.8167,33.5781, 9.29, 553, 11.73,203
KK141,185.7196,33.8286, 7.78, 573, 17.29, 26
DDO019,36.2508,36.0378, 9.30, 577, 14.87, 87
MRK0475,219.7725,36.8061, 9.20, 583, 19.46, 32
UGC07699,188.2,37.6217,14.5, 495, 14.07,171
KDG105,185.4292,37.9872, 7.60, 567, 16.87, 40
KUG1218+387,185.2287,38.4303, 8.03, 570, 16.04, 30
DDO022,38.225,38.6806, 9.30, 570, 15.54, 52
KKH58,151.8446,38.9697,18.4, 587, 15.99, 83
UGC04704,134.7512,39.21,15.2, 599, 14.27,132
UGC03475,97.62,39.5039,20, 487, 14.21,170
UGC07774,189.0938,40.0053,22.6, 528, 14.19,183
DDO024,38.4292,40.5281, 9.80, 581, 13.97, 48
NGC7640,350.5275,40.8456, 7.90, 369, 11.55,238
NGC4618,190.3867,41.1508, 7.90, 536, 13.08, 90
MESSIER031,10.6854,41.2692, 0.77,-296,  5.95,510
NGC3184,154.5708,41.4244,11.12, 592, 12.87,128
NGC4490,187.6517,41.6436, 5.80, 586, 11.60,173
NGC4485,187.63,41.7, 5.80, 480, 13.22,139
NGC5055,198.9554,42.0292, 8.99, 500, 11.55,381
NGC0891,35.6367,42.3467, 9.77, 526, 11.68,456
UGC07690,188.1121,42.7042,11.2, 536, 14.48, 71
UGC02172,40.545,43.3553, 9.30, 565, 15.99, 60
KK133,184.8867,43.3864, 8.23, 561, 18.20, 51
UGC07271,183.8892,43.4342,18.6, 546, 15.46,105
UGC07320,184.3688,44.8114, 9.20, 541, 16.80, 55
UGC07827,189.9121,44.8208, 8.50, 553, 15.26, 44
NGC4242,184.3758,45.6194, 7.90, 517, 13.58,108
IC2233,123.4954,45.7422,12.2, 557, 13.46,178
NGC4288,185.1587,46.2917, 8.05, 533, 13.84,154
NGC5194,202.4696,47.2344, 8.40, 446, 12.15,175
NGC5195,202.4946,47.2681, 7.66, 455, 14.89,165
NGC4258,184.7396,47.3039, 7.83, 447, 11.20,421
NGC2541,123.6671,49.0617,12.4, 559, 12.49,192
NGC2552,124.8354,50.0097,12.4, 524, 14.11,130
NGC2500,120.4717,50.7372,12.4, 514, 13.93,102
UGC04932,139.8921,51.1092,20.6, 549, 15.59,110
UGC05047,142.2067,51.5606,19.68, 502, 17.01,104
KDG078,172.475,52.4039, 9.00, 575, 18.74, 26
KKH73,177.5267,55.7833, 9.00, 594, 18.15, 20
